epoch,best_value,average_value
0,12.2188,45.892124
1,7.822677,29.078119
2,6.084515,18.712848
3,3.333138,14.288676
4,3.332388,9.301351
5,3.332388,7.717867
6,2.559345,6.919934
7,2.559345,5.300752
8,2.455924,4.396129
9,1.684375,4.56328
10,1.681447,4.089632
11,1.550743,3.813145
12,1.104943,3.635292
13,0.347674,2.227636
14,0.347674,3.389586
15,0.347262,3.054493
16,0.283923,1.541937
17,0.277798,2.917395
18,0.174867,2.737866
19,0.174867,2.325755
20,0.17045,3.583571
21,0.168147,3.160378
22,0.168147,3.703342
23,0.164079,1.783558
24,0.043409,3.184724
25,0.034431,2.703352
26,0.033612,1.554414
27,0.028953,4.492081
28,0.01778,3.713553
29,0.017507,1.184242
30,0.013881,3.10875
31,0.01321,3.328492
32,0.010007,3.249042
33,0.009943,2.669028
34,0.004056,2.289316
35,0.004056,2.763665
36,0.004056,3.143858
37,0.001637,1.76812
38,0.001628,4.049912
39,0.001628,3.863208
40,0.0013,1.478097
41,0.0013,4.864402
42,0.000618,2.856974
43,0.000618,5.992864
44,0.000452,4.181568
45,0.000452,1.862453
46,0.000319,2.74796
47,0.000319,4.852091
48,0.000319,2.879049
49,0.000319,3.128343
50,0.000319,2.912138
51,0.000268,2.879535
52,0.000268,1.898124
53,0.000223,1.137631
54,0.000223,6.195322
55,0.000223,3.571444
56,0.000187,4.085884
57,0.000187,4.663632
58,0.000139,3.296335
59,0.000135,4.016076
60,2.5e-05,2.83048
61,2.5e-05,2.044038
62,2.5e-05,1.211785
63,1.8e-05,3.666071
64,1e-05,2.629906
65,1e-05,3.531915
66,1e-05,0.955209
67,1e-05,3.099539
68,9e-06,6.624324
69,9e-06,5.81208
70,2e-06,3.532379
71,2e-06,4.006321
72,2e-06,1.582542
73,2e-06,3.606607
74,2e-06,4.519795
75,1e-06,4.933396
76,1e-06,2.850127
77,1e-06,1.929562
78,1e-06,1.899682
79,1e-06,0.467113
80,1e-06,5.178909
81,1e-06,5.998025
82,1e-06,5.285307
83,1e-06,3.747233
84,1e-06,1.15481
85,1e-06,5.095902
86,1e-06,3.179421
87,1e-06,4.475976
88,1e-06,1.58867
89,1e-06,2.107925
90,0.0,2.572601
91,0.0,2.628235
92,0.0,4.429969
93,0.0,1.67755
94,0.0,3.273285
95,0.0,3.811384
96,0.0,2.930336
97,0.0,3.006312
98,0.0,2.19988
99,0.0,3.721625
