epoch,best_value,average_value
0,2.755135,40.788762
1,2.755135,26.734532
2,0.937194,19.209308
3,0.937194,13.619123
4,0.777731,7.54613
5,0.462105,5.999295
6,0.462105,5.621817
7,0.410264,5.55234
8,0.247215,3.843999
9,0.247215,4.336963
10,0.174388,2.425477
11,0.106937,3.839906
12,0.058832,2.307467
13,0.058832,3.158669
14,0.058832,2.19443
15,0.044319,3.232517
16,0.039292,2.210994
17,0.007897,2.109898
18,0.007897,4.095316
19,0.007276,2.032323
20,0.00547,2.28067
21,0.004505,2.721374
22,0.004505,3.029687
23,0.002577,3.568345
24,0.001787,3.170535
25,0.00148,3.726397
26,0.000935,2.791107
27,0.000874,4.555886
28,0.000799,2.846035
29,0.000675,3.794537
30,0.00064,3.223294
31,0.000423,4.017756
32,0.000292,3.122511
33,0.000239,2.55916
34,0.000137,3.073915
35,0.00011,4.252571
36,7.5e-05,3.602675
37,7.5e-05,2.221861
38,3.6e-05,3.069267
39,3.6e-05,2.703904
40,2.7e-05,3.825483
41,1.7e-05,3.410505
42,1.7e-05,4.209851
43,1.4e-05,5.060676
44,1.4e-05,2.787591
45,1.4e-05,2.464254
46,9e-06,4.193053
47,9e-06,2.342841
48,6e-06,3.823507
49,5e-06,2.565548
50,3e-06,4.056566
51,1e-06,3.120412
52,1e-06,3.317795
53,1e-06,3.935867
54,1e-06,4.579587
55,1e-06,2.295386
56,1e-06,3.86519
57,1e-06,2.864015
58,1e-06,3.869052
59,1e-06,3.749579
60,1e-06,4.359211
61,1e-06,1.945722
62,1e-06,4.155441
63,0.0,2.415451
64,0.0,4.748839
65,0.0,3.90442
66,0.0,4.148944
67,0.0,4.654562
68,0.0,5.26716
69,0.0,5.639639
70,0.0,4.545753
71,0.0,3.918492
72,0.0,4.432318
73,0.0,2.438165
74,0.0,5.297634
75,0.0,2.79237
76,0.0,3.610264
77,0.0,4.87244
78,0.0,3.383172
79,0.0,2.319299
80,0.0,5.125757
81,0.0,3.440108
82,0.0,4.497994
83,0.0,5.044465
84,0.0,3.669709
85,0.0,3.901894
86,0.0,4.531087
87,0.0,3.51117
88,0.0,3.05379
89,0.0,2.957109
90,0.0,3.186277
91,0.0,4.726692
92,0.0,3.434944
93,0.0,3.152496
94,0.0,3.473649
95,0.0,3.426435
96,0.0,4.298613
97,0.0,4.292109
98,0.0,4.294723
99,0.0,5.354459
