epoch,best_value,average_value
0,0.749193,18.904589
1,0.543852,10.755836
2,0.470532,6.806898
3,0.446701,3.565294
4,0.361187,2.695608
5,0.161533,1.865976
6,0.161533,0.832793
7,0.120211,2.563953
8,0.10432,1.392696
9,0.10432,1.739579
10,0.103549,0.923956
11,0.053794,1.435192
12,0.053794,1.491842
13,0.053794,1.613419
14,0.048841,0.355016
15,0.000654,0.963793
16,0.000654,0.934096
17,0.00053,0.571032
18,0.00029,1.712112
19,0.00029,1.004257
20,0.00029,1.631674
21,5.1e-05,0.075993
22,2.3e-05,2.1059
23,1.7e-05,1.551467
24,1.6e-05,0.992426
25,1.6e-05,1.157931
26,8e-06,1.819238
27,3e-06,1.345043
28,3e-06,1.126041
29,3e-06,0.323338
30,0.0,1.986763
31,0.0,0.527289
32,0.0,0.569467
33,0.0,0.000134
34,0.0,1.618024
35,0.0,1.605591
36,0.0,1.938322
37,0.0,2.106756
38,0.0,0.397608
39,0.0,3.68862
40,0.0,1.56545
41,0.0,1.737976
42,0.0,0.780789
43,0.0,1.017114
44,0.0,2.753413
45,0.0,2.422641
46,0.0,1.261382
47,0.0,1.00199
48,0.0,1.75238
49,0.0,0.761117
50,0.0,1.129181
51,0.0,1.157931
52,0.0,1.404911
53,0.0,0.847179
54,0.0,2.725218
55,0.0,0.004461
56,0.0,0.859886
57,0.0,1.071519
58,0.0,0.584719
59,0.0,0.571427
60,0.0,1.033641
61,0.0,2.646299
62,0.0,1.010045
63,0.0,2.57627
64,0.0,0.624199
65,0.0,2.652802
66,0.0,1.137098
67,0.0,2.791773
68,0.0,1.521131
69,0.0,0.743568
70,0.0,2.38218
71,0.0,1.050104
72,0.0,0.011034
73,0.0,0.987283
74,0.0,0.791241
75,0.0,0.63557
76,0.0,0.489341
77,0.0,1.141796
78,0.0,1.209921
79,0.0,2.627684
80,0.0,1.364074
81,0.0,0.688179
82,0.0,0.150513
83,0.0,1.876995
84,0.0,1.080682
85,0.0,1.651311
86,0.0,1.000529
87,0.0,1.131466
88,0.0,1.326965
89,0.0,1.659375
90,0.0,1.112986
91,0.0,0.946307
92,0.0,3.513963
93,0.0,1.038724
94,0.0,0.688208
95,0.0,1.3616
96,0.0,1.57489
97,0.0,1.081357
98,0.0,2.340324
99,0.0,1.122189
100,0.0,2.299064
101,0.0,0.680684
102,0.0,1.749394
103,0.0,0.142018
104,0.0,1.072268
105,0.0,2.483003
106,0.0,0.685761
107,0.0,1.123872
108,0.0,0.653156
109,0.0,1.95712
110,0.0,2.99456
111,0.0,1.867897
112,0.0,0.55657
113,0.0,3.295939
114,0.0,1.324842
115,0.0,0.888059
116,0.0,1.408693
117,0.0,3.419221
118,0.0,0.32486
119,0.0,0.544625
120,0.0,1.512329
121,0.0,2.192373
122,0.0,0.550168
123,0.0,1.761044
124,0.0,1.867198
125,0.0,0.985158
126,0.0,2.177617
127,0.0,1.497205
128,0.0,2.283809
129,0.0,1.132953
130,0.0,0.791626
131,0.0,0.284323
132,0.0,2.597772
133,0.0,1.133396
134,0.0,0.756595
135,0.0,1.28937
136,0.0,2.612775
137,0.0,1.151037
138,0.0,0.929367
139,0.0,1.09537
140,0.0,1.071184
141,0.0,0.921236
142,0.0,1.013509
143,0.0,1.408783
144,0.0,0.78992
145,0.0,2.295221
146,0.0,2.223195
147,0.0,0.979226
148,0.0,1.431528
149,0.0,1.023754
150,0.0,1.703036
151,0.0,1.191496
152,0.0,1.740497
153,0.0,3.7595
154,0.0,0.640385
155,0.0,0.853065
156,0.0,0.07126
157,0.0,1.155523
158,0.0,0.500797
159,0.0,1.532025
160,0.0,0.670443
161,0.0,1.914248
162,0.0,2.874114
163,0.0,0.829372
164,0.0,0.782218
165,0.0,0.422782
166,0.0,1.76871
167,0.0,0.951736
168,0.0,0.312316
169,0.0,1.840504
170,0.0,0.532233
171,0.0,1.145308
172,0.0,1.212581
173,0.0,1.333231
174,0.0,1.544477
175,0.0,1.410163
176,0.0,0.573418
177,0.0,1.817296
178,0.0,1.227553
179,0.0,0.633319
180,0.0,1.459564
181,0.0,1.959809
182,0.0,0.715916
183,0.0,1.289892
184,0.0,1.675406
185,0.0,0.684756
186,0.0,2.248205
187,0.0,2.918652
188,0.0,2.863592
189,0.0,0.564264
190,0.0,2.208164
191,0.0,0.910785
192,0.0,0.482037
193,0.0,1.599865
194,0.0,2.633138
195,0.0,2.916938
196,0.0,2.534779
197,0.0,0.695953
198,0.0,0.659094
199,0.0,2.758077
200,0.0,1.133119
201,0.0,1.749472
202,0.0,2.391754
203,0.0,1.960793
204,0.0,0.033586
205,0.0,1.213782
206,0.0,1.010847
207,0.0,1.541459
208,0.0,1.501338
209,0.0,3.154478
210,0.0,0.042539
211,0.0,2.041418
212,0.0,0.770732
213,0.0,0.961858
214,0.0,0.105852
215,0.0,1.653065
216,0.0,0.581787
217,0.0,0.410247
218,0.0,2.085872
219,0.0,0.861297
220,0.0,1.47509
221,0.0,0.80974
222,0.0,0.959829
223,0.0,0.902071
224,0.0,0.032485
225,0.0,0.509682
226,0.0,0.877258
227,0.0,0.16805
228,0.0,1.408163
229,0.0,1.59306
230,0.0,1.653011
231,0.0,1.173076
232,0.0,0.942677
233,0.0,0.423544
234,0.0,0.534742
235,0.0,0.802659
236,0.0,1.499276
237,0.0,0.413725
238,0.0,2.518725
239,0.0,1.526879
240,0.0,1.627385
241,0.0,1.079344
242,0.0,1.141378
243,0.0,1.482818
244,0.0,1.852525
245,0.0,2.269809
246,0.0,0.721544
247,0.0,1.923528
248,0.0,0.102601
249,0.0,0.988268
