epoch,best_value,average_value
0,162.791265,229.469983
1,124.330024,194.759946
2,116.429003,167.781911
3,104.14994,145.540817
4,96.200569,125.745474
5,96.162931,122.830245
6,83.031301,117.809101
7,67.735409,109.210957
8,67.735409,102.246217
9,65.356842,94.186559
10,62.32098,86.930688
11,58.083352,82.243306
12,58.083352,78.364709
13,52.077603,74.732677
14,52.077603,70.179379
15,42.353349,74.433119
16,42.353349,76.972367
17,40.552198,69.57595
18,40.552198,62.681392
19,38.385817,61.858377
20,28.206729,61.263321
21,28.206729,57.235948
22,27.713457,49.372393
23,24.536328,51.651816
24,24.536328,46.505131
25,23.281775,39.201488
26,21.596539,43.615414
27,21.596539,41.179487
28,20.647046,43.417139
29,19.909454,31.844121
30,19.769862,39.799955
31,16.555555,35.974123
32,15.322911,35.915184
33,15.322911,33.787713
34,14.628742,38.647341
35,14.602189,34.882848
36,12.346861,31.593109
37,12.346861,25.361251
38,11.277947,24.673854
39,10.180456,30.018833
40,10.059228,32.687563
41,9.5233,28.348025
42,9.508172,27.613443
43,9.508172,28.440648
44,9.067656,19.911106
45,9.067656,25.284941
46,8.503087,28.895533
47,8.503087,30.480342
48,8.503087,24.982263
49,8.503087,25.676083
50,8.281188,30.164674
51,7.905269,24.144113
52,7.737592,25.998983
53,7.737592,21.238048
54,7.443775,17.182945
55,6.599451,22.591298
56,6.599451,23.542088
57,6.443363,25.577869
58,6.443363,26.062104
59,6.037294,33.43244
60,6.037294,22.46009
61,6.025971,25.841694
62,5.21245,30.055819
63,5.21245,22.878174
64,3.84027,18.203397
65,3.84027,19.849957
66,3.122887,19.299069
67,3.122887,30.082241
68,3.122887,17.781295
69,3.122887,23.821909
70,2.677187,19.565751
71,2.591805,17.075643
72,2.247877,22.223494
73,2.083155,21.313022
74,2.083155,16.224753
75,2.055814,16.509602
76,2.055814,22.371627
77,2.055814,17.554726
78,2.055814,21.15484
79,1.981633,16.787939
80,1.956738,14.712768
81,1.891545,13.019755
82,1.891545,23.684258
83,1.891545,18.710423
84,1.891545,19.278791
85,1.891545,15.088206
86,1.698447,18.355605
87,1.698447,23.270214
88,1.698447,19.286195
89,1.698447,20.286559
90,1.698447,16.59372
91,1.559556,16.654267
92,1.559556,21.069885
93,1.518596,12.746854
94,1.518596,18.23538
95,1.518596,14.920059
96,1.4895,27.609247
97,1.4895,22.790891
98,1.4895,20.425065
99,1.402837,20.968495
100,1.372838,17.377013
101,1.361605,20.026494
102,1.195312,19.915996
103,1.195312,17.513289
104,1.195312,18.006177
105,1.195312,21.152923
106,1.089029,14.190944
107,1.089029,14.730561
108,1.089029,21.208181
109,1.019448,13.057936
110,0.926026,17.217164
111,0.863383,20.669431
112,0.863383,27.428556
113,0.863383,20.980733
114,0.862396,13.401571
115,0.862396,19.825939
116,0.859073,20.143289
117,0.845757,13.863419
118,0.845757,23.118404
119,0.831972,16.567351
120,0.719132,22.941115
121,0.686378,12.965524
122,0.686378,15.892632
123,0.686378,14.822468
124,0.686378,15.923853
125,0.686378,24.507493
126,0.686378,27.967384
127,0.565608,11.920732
128,0.565608,20.884471
129,0.565608,23.1531
130,0.565608,19.560045
131,0.510603,13.020253
132,0.510603,14.759016
133,0.456897,14.371278
134,0.456897,19.086954
135,0.456897,22.764902
136,0.456897,21.123873
137,0.456785,14.896343
138,0.456785,21.538272
139,0.456785,16.500202
140,0.453037,17.977406
