epoch,best_value,average_value
0,19.324591,40.274476
1,15.6388,32.399574
2,8.547991,21.738687
3,8.363875,14.12515
4,8.361628,8.697387
5,8.352312,10.749051
6,8.314506,9.211532
7,8.071802,11.408257
8,8.071802,10.456192
9,7.488385,8.632038
10,7.249957,7.781528
11,7.217141,8.35189
12,2.348153,7.124731
13,2.306071,5.262304
14,2.277531,3.293052
15,2.277531,2.300052
16,1.141877,2.097301
17,0.878418,5.71798
18,0.878418,3.591292
19,0.878353,0.960713
20,0.878353,1.476195
21,0.878353,3.288969
22,0.87791,1.580381
23,0.80421,0.870879
24,0.80421,3.016561
25,0.80421,1.168023
26,0.80421,2.613586
27,0.80421,1.897486
28,0.769997,1.562542
29,0.769997,3.294739
30,0.01998,1.473283
31,0.01998,2.384639
32,0.01998,5.790932
33,0.014679,2.02541
34,0.014679,1.354946
35,0.014255,0.281928
36,0.014255,0.030959
37,0.014255,4.819262
38,0.014146,2.769868
39,0.010638,0.106879
40,0.010638,0.11341
41,0.010615,10.792288
42,0.010615,3.202234
43,0.010615,0.442733
44,0.010615,7.958514
45,0.008511,0.025198
46,0.008511,4.7937
47,0.008347,0.689116
48,0.008347,3.320465
49,0.008347,0.670207
50,0.00825,5.156776
51,0.008245,0.373555
52,0.008245,0.049604
53,0.008245,3.197251
54,0.008147,0.646683
55,0.008147,2.431591
56,0.008147,0.832964
57,0.008147,0.306013
58,0.008098,13.569416
59,0.008098,0.184299
60,0.008035,2.38245
61,0.008035,2.514538
62,0.008035,0.520483
63,0.008035,0.177452
64,0.007842,0.008194
65,0.007818,0.01463
66,0.007818,5.154827
67,0.007818,0.702593
68,0.007716,3.278669
69,0.007716,0.858545
70,0.007709,1.367543
71,0.007709,0.253355
72,0.007709,0.007755
73,0.007705,0.184658
74,0.007705,0.051742
75,0.007705,2.312747
76,0.007705,0.02516
77,0.007705,5.08948
78,0.007705,5.761359
79,0.007705,4.167044
80,0.007705,1.81785
81,0.007705,0.678375
82,0.007705,2.861826
83,0.007705,0.662991
84,0.007705,4.202015
85,0.007705,11.176742
86,0.007705,0.788543
87,0.007705,4.228926
88,0.007705,2.819353
89,0.007705,0.655822
90,0.006125,0.00793
91,0.006125,0.175803
92,0.006125,0.671403
93,0.006125,0.066881
94,0.006125,0.343898
95,0.006125,10.605582
96,0.006125,5.741309
97,0.006125,7.221028
98,1.6e-05,0.32595
99,1.6e-05,0.164013
